                                                                                                                             ,,,,,,,23/6/2026,,,,
                                                                      ,,,,SORSZ,,,,,,,
Os:,CLIENTE:,SERVIÇO:,STATUS,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
,,,,,,,,,,,
2665,PIF PAF,CARTUCHO PIZZA CALABRESA,40.000 fls,300.000,150.000,30/4,2405B - COM RELEVO / BRAILE,5X0,,,
2666,PIF PAF,CARTUCHO PIZZA PRESUNTO,15.000 fls,120.000,60.000,30/4,2405B - COM RELEVO / BRAILE,5X0,,,
2603,LAIPPE,CART. PULFO VETERINARIO 1KG,OK,16.500,8.250,9/4,1404B,4X0,,,
2652,INDUBRAS,CARTUCHO PROVERMIN PO DISPLAY,OK,55.000,27.500,20/4,M2532B,4X0,,,
2648,MARESP,CART. MANTEIGA MARESP 200 GR,OK,110.000,13.750,22/4,1456B,4X0,,,
2664,PIF PAF,CARTUCHO PIZZA FRANGO COM REQUEIJÃO,Fabricado 31.800 fls,300.000,150.000,20/4,2405B - COM RELEVO / BRAILE,5X0,,,
2665,PIF PAF,CARTUCHO PIZZA CALABRESA,Restante,300.000,150.000,30/4,2405B - COM RELEVO / BRAILE,5X0,,,
2666,PIF PAF,CARTUCHO PIZZA PRESUNTO,,120.000,60.000,30/4,2405B - COM RELEVO / BRAILE,5X0,,,
2667,PIF PAF,CARTUCHO PIZZA MUSSARELA,,60.000,30.000,30/4,2405B - COM RELEVO / BRAILE,5X0,,,
2609,PIF PAF,CART. DE HAMBURGUER DE FRANGO PIFPAF ,,45.100,11.275,5/5,2250B - COM RELEVO E BRAILLE,5X0,,,
2684,PIF PAF,CARTUCHO HAMBURGUER BOVINO,,55.000,13.750,10/6,2250B,5X0,,,
,,,,,674.525,,,,,,
                                                                      ,,,,Laminadora PL 110,,,,,,,
Os:,CLIENTE:,SERVIÇO:,STATUS,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2611,CARAPRETA,CARTUCHO HAMB CARAPRETA TRADICIONAL SIF 147 - QUADRADO,OK,258.500,64.625,1/4,2174B,5X0,,,
2649,GERDAU,RÓTULO P/ARAME FARPADO ELEFANTE 400M,OK,30.000,15.000,2/4,GUILHOTINA,3X0, ,,
2674,LAIPPE,CART COLA RATO LIGEIRINHO ,,110.000,27.500,5/5,2255B,4X0,,,
,,,,Laminadora PL 80,,,,,,,
Os:,CLIENTE:,SERVIÇO:,STATUS,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
,,,,,,,,,,,
,,,,LAMINADORA NOVA,,,,,,,
Os:,CLIENTE:,SERVIÇO:,STATUS,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2463,GERDAU,RÓTULO P/FARPADO GIR 500,OK,48.000,16.000,27/2,GUILHOTINA,3X0,,,
2573,GERDAU,ROTULO P/ FARPADO GIR 250M,OK,20.000,5.000,11/3,GUILHOTINA,3X0,,,
2632,GERDAU,ROTULO P/ FARPADO GIR 500M,,16.000,4.000,31/12,GUILHOTINA,3X0,,,
2657,DOCERIA BRASIL,CAIXA P/ SALGADO E DOCE 20 UNIDADES ,,22.000,5.500,23/4,1771B,1X0,,,
2589,BELGO BEKAERT,INVÓLUCRO MOTTO MUNDIAL 500M,OK,64.000,21.333,25/3,GUILHOTINA,4X0,,,
2663,BELGO - MG,INVOLUCRO BÚFALO 500M,PLASTIFICAR SÓ 3.500 FOLHAS,21.000,7.000,20/4,GUILHOTINA,4X0,,,
2694,GERDAU,ROTULO P/ FARPADO GIR 250M,,8.800,2.933,17/4,GUILHOTINA,3X0,,,
2681,GERDAU,ETIQUETA PARA ARAME FARPADO ELEFANTE 250M,,11.000,3.667,13/4,GUILHOTINA,3X0,,,
,,,,,,,,,,,
 VERNIZ FOSCO + LOCAL ,,,,,,,,,,,
2561,ALFAPARF GROUP,PILOTO CARTUCHO COLOR EVOLUTION ,OK / Mariplast,2000,250,17/3,2514B - FACA NOVA,3X1,,,
,,,,,,,,,,,
  ,,, ,ACOPLADEIRA,MAZOLA 120,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2639,CERVEJARIA IMPERIO,CAIXA 18 GARRAFAS IMPERIO GOLD 210ML,"MICRO 250G 80 x 51,0 ",104.000,104.000,17/4,2401B,6X0,,,
2603,LAIPPE,CART. PULFO VETERINARIO 1KG,"Micro Pardo 230g - 44,5 x 73,5 cm",16.500,8.250,9/4,1404B,4X0,,,
2466,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L COMBATE,"OK / Micro Pardo 260g - 69,5 x 86,5 / 82 x 53 (FALTA ACOPLAR A TAMPA)",8.800,4.400,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2464,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L CREMOSA," OK / Micro Pardo 260g - 69,5 x 86,5 / 82 x 53 ( FALTA ACOPLAR 5.000 FOLHAS FUNDO E 5.000 TAMPA )",44.000,22.000,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2465,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L BRASILEIRINHO," OK / Micro Pardo 260g - 69,5 x 86,5 / 82 x 53 (FALTA ACOPLAR A TAMPA)",11.000,5.500,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
