Ordem de Serviço,Quantidade,Finalizada,Cliente,Produto,Entrega,Pedido,Status,Montagem,Tiragem,Matriz,Cartão,Gramatura,Formato,Verniz,Cores,Policromia,Pantone 1,Pantone 2,Pantone 3,Pantone 4,Pantone 5,"Máquina 
impressão",QTD KILO DA BOBINA 
12182,33.000,27.735,NATIVITA FARMACEUTICA,Cart. Display Profig Abacaxi (VUV),19/1/2024,1123000087/88,Novo,2,16500,2242 (NOVA),SILVERPACK,270,56 cm- em estoque,VUV,4x0,CMYK,,,,,,,
12183,16.500,,NATIVITA FARMACEUTICA,Cart. Display Profig Boldo (VUV),19/1/2024,1123000087/88,Novo,2,8250,2242 (NOVA),SILVERPACK,270,56 cm- em estoque,VUV,4x0,CMYK,,,,,,,
12193,1.650.000,1.655.960,QUALITY IN TABACOS,Cx Estojo Gift azul cod 1004080028 (VBD_REL),26/1/2024,1223000101,repetição,14,"117857,142857143",2203 - Relevo ,Metza,200,59 cm - em estoque / Supera white 208G - 100 cm - em estoque ,VBD,5x0,CMK ,Amarelo Cig,Azul quality 43BR027501-0101,,,,,
12217,11.000,10.220,MANTEIGA TRES PONTAS ,Caix. P/ Manteiga 3 Pontas (VUV+PLAS.V),25/1/2024,124000004,repetição,6,"1833,33333333333",28,Stora,267,64 cm - em estoque,VUV,3x0,MYK,,,,,,,
12228,55.000,52.100,DOVER ROLL,Cart. Assa+Leve Embalagem 30cm - 2192230 (VBD+REL),29/1/2024,0123000020/44,Alteração,4,13750,2187 com relevo,Stora White,240,"99,5 cm - em estoque",VBD,5x0,CMYK,Azul 293C,,,,,,
12244,21.150,19.350,BELGO (BH),Inv. Varjão 400 m (simples),31/1/2024,124000052,repetição,4,"5287,5",Guilhotina,Crownboard craft,460,"82 cm - em estoque / Mcm 230G - 83 cm - em estoque / Kraft 260G - 79,5 cm - em estoque ",Simples,4x0,,Vermelho 485C,Azul 295C,AMARELO 123C,Verde 348C,,,
12249,55.000,54.680,PIF-PAF (V.do Rio Branco),Cart. Pizza Mussarela - Pif Paf (VUV+RELEVO),5/2/2024,0124000022/49,repetição,2,27500,2212 com relevo,Stora ,288,72 - cm - encomendado,VUV,5x1,CMYK,CW0132- Verde ,,,,,,
12253,19.800,16.730,CHINEZINHO,Caix. Display Para Sopa Creme (VBD),1/3/2024,0124000040/60,repetição,2,9900,1865,Nz,275,62 cm - em estoque  ,VBD,4x0,CMYK,,,,,,,
12257,110.000,109.625,INQUISA,Cart. Desodor Pedra Sanit. C/Rede - 2 var (VBD),19/2/2024,0124000073/84,repetição,12,"9166,66666666667",2132,Mcm,250,123 cm - em estoque,VBD,4x0,CMYK,,,,,,,
12258,88.000,82.110,INQUISA,Cart. Desodor Pedra Sanit. C/Rede - 2 var (VBD),19/2/2024,0124000073/84,repetição,12,"7333,33333333333",2132,Mcm,250,123 cm - em estoque  ,VBD,4x0,CMYK,,,,,,,
12259,1.100,953,CARTON WEGA,Sacolas Candy Kids (VBD),27/1/2024,124000092,Alteração,1,1100,22 - alça gorgurão ,Stora White,210,100 cm - em estoque,VBD,4x0,CMYK,,,,,,,
12262,38.500,37.550,JOFADEL,Caix. P/ Jofadel 50ML - 2VAR (VUV),9/2/2024,0123000082/82,Repetição/novo,9,"4277,77777777778",2116,Stora White,240,"105,5 cm - em estoque ",VUV,5x0,CMYK,Verde 357C,,,,,,
12265,120.000,,FURP,Cart. P/ 50 Blister x 10 Comp - 211701142 (S/IMP),8/2/2024,0124000078/23,Novo,3,40000,2251 c/ relevo - Nova,Nz,250,"105 cm / Bobina de Nz 250g - 50 cm / Bobina de Nz 250g - 53 cm / Bobina de Nz 250g - 54,4 cm / Bobina de Nz 250G - 58,7 cm - em estoque  ",Simples,0x0,,,,,,,,
12267,132.000,123.000,TINTURA MÁRCIA,Cart. P/ Pack Conc 525 ml - 2VAR (VBD),15/2/2024,0124000047/65,Repetição,4,33000,2184,Stora,295,"62,5 cm - em estoque",VBD,4x0,CMYK,,,,,,,
12269,1.100,,CARTON WEGA,Caixas Tampa + Fundo (LAM.F),9/2/2024,,Novo,2,1100,2071 (fundo) / 2072 (tampa),Stora,322,"67,9 cm - em estoque",Lam.Fosc,1x0,Azul ,,,,,,cd,
